epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.051,1.3998,2.08718,1.4198,0.79245,0.55988,0.90806,0.44598,1.56286,3.01106,1.39791,0.000547247,0.000547247,0.000547247
2,372.753,1.07963,1.30168,1.2435,0.48647,0.4475,0.4845,0.23805,1.59932,2.99725,1.88508,0.00108472,0.00108472,0.00108472
3,559.512,1.044,1.08784,1.20216,0.72086,0.78812,0.80992,0.40118,1.73271,1.81996,1.7137,0.00160385,0.00160385,0.00160385
4,747.353,1.05407,0.97479,1.20344,0.84231,0.84417,0.86738,0.43744,1.52707,1.5273,1.53049,0.00158448,0.00158448,0.00158448
5,929.728,0.98185,0.86282,1.16873,0.94769,0.95528,0.97041,0.50656,1.51558,1.23241,1.56481,0.00155698,0.00155698,0.00155698
6,1107.15,0.91611,0.76797,1.1444,0.82099,0.84131,0.91475,0.43611,1.65848,1.37373,1.54285,0.00152947,0.00152947,0.00152947
7,1289.02,0.92757,0.747,1.14265,0.90147,0.87278,0.91714,0.48633,1.59251,0.99319,1.5815,0.00150197,0.00150197,0.00150197
8,1474.76,0.8849,0.68817,1.12894,0.86797,0.88592,0.90942,0.48426,1.55592,0.94713,1.57848,0.00147446,0.00147446,0.00147446
9,1655.9,0.88236,0.66737,1.12546,0.902,0.88278,0.92009,0.50601,1.4789,0.84705,1.53245,0.00144696,0.00144696,0.00144696
10,1837.21,0.86202,0.644,1.11218,0.92345,0.92944,0.95783,0.54776,1.47624,0.8716,1.35997,0.00141945,0.00141945,0.00141945
11,2018.62,0.83116,0.64303,1.09397,0.95305,0.96917,0.97537,0.55824,1.45822,0.81022,1.44069,0.00139195,0.00139195,0.00139195
12,2201.68,0.81121,0.60375,1.08927,0.98064,0.96866,0.97213,0.56741,1.39074,0.81717,1.36814,0.00136444,0.00136444,0.00136444
13,2385.94,0.80252,0.5786,1.08946,0.93306,0.95264,0.95881,0.54794,1.56535,0.72715,1.44503,0.00133693,0.00133693,0.00133693
14,2569.18,0.80774,0.58113,1.08401,0.91716,0.94222,0.91793,0.507,1.54871,0.72694,1.53508,0.00130943,0.00130943,0.00130943
15,2753.25,0.77613,0.55569,1.07431,0.9477,0.97313,0.97166,0.57236,1.41639,0.72867,1.37225,0.00128192,0.00128192,0.00128192
16,2936.29,0.76342,0.546,1.06484,0.94406,0.91549,0.94505,0.55526,1.43018,0.91724,1.36451,0.00125442,0.00125442,0.00125442
17,3116.81,0.75546,0.52972,1.06895,0.9048,0.92056,0.90824,0.46318,1.75978,0.88531,1.51398,0.00122691,0.00122691,0.00122691
18,3298.06,0.74112,0.52267,1.04937,0.96431,0.96222,0.97278,0.58839,1.37449,0.67159,1.30292,0.00119941,0.00119941,0.00119941
19,3479.2,0.7409,0.53144,1.06186,0.92402,0.96792,0.96648,0.54604,1.4602,0.76402,1.35831,0.0011719,0.0011719,0.0011719
20,3663.68,0.76175,0.52183,1.06897,0.95739,0.94578,0.96514,0.56914,1.37028,0.72133,1.31352,0.0011444,0.0011444,0.0011444
21,3848.72,0.73244,0.52342,1.05108,0.92239,0.91756,0.95357,0.53642,1.40334,0.7464,1.39621,0.00111689,0.00111689,0.00111689
22,4033.58,0.71691,0.49456,1.05299,0.97913,0.95528,0.96499,0.57469,1.50187,0.62081,1.37605,0.00108938,0.00108938,0.00108938
23,4211.59,0.73714,0.51409,1.05854,0.92431,0.93139,0.94551,0.56969,1.42065,0.68093,1.40686,0.00106188,0.00106188,0.00106188
24,4380.68,0.72333,0.49174,1.06316,0.93319,0.96917,0.96349,0.56197,1.4356,0.71142,1.36669,0.00103437,0.00103437,0.00103437
25,4552.36,0.69823,0.47974,1.04191,0.97425,0.95156,0.9737,0.59375,1.40568,0.58556,1.36366,0.00100687,0.00100687,0.00100687
26,4720.94,0.69513,0.47197,1.03632,0.95395,0.96686,0.97331,0.60745,1.37573,0.64088,1.32486,0.000979362,0.000979362,0.000979362
27,4890.3,0.68256,0.46951,1.02946,0.95382,0.97611,0.97636,0.60993,1.33325,0.71228,1.32478,0.000951857,0.000951857,0.000951857
28,5059.03,0.68708,0.47247,1.03497,0.88635,0.92111,0.96621,0.58635,1.4672,0.85207,1.37464,0.000924352,0.000924352,0.000924352
29,5228.24,0.70317,0.47121,1.04059,0.96309,0.95722,0.96224,0.56654,1.44568,0.65229,1.33931,0.000896846,0.000896846,0.000896846
30,5396.78,0.68225,0.46357,1.03203,0.9388,0.94774,0.96491,0.58682,1.34724,0.68399,1.26257,0.00086934,0.00086934,0.00086934
31,5564.69,0.65728,0.44498,1.01993,0.95562,0.93201,0.97424,0.60542,1.37609,0.66794,1.29234,0.000841835,0.000841835,0.000841835
32,5733.93,0.67729,0.45137,1.0325,0.95057,0.95528,0.97823,0.61216,1.36298,0.63485,1.28775,0.000814329,0.000814329,0.000814329
33,5901.98,0.67616,0.45276,1.03131,0.96489,0.93178,0.9727,0.60113,1.33665,0.65376,1.30011,0.000786824,0.000786824,0.000786824
