epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,6072.21,0.64735,0.43045,1.01885,0.94072,0.97284,0.9752,0.59891,1.36333,0.63091,1.24418,0.000759318,0.000759318,0.000759318
35,6240.75,0.66983,0.42479,1.02572,0.95686,0.95383,0.97301,0.61242,1.31246,0.58813,1.30723,0.000731813,0.000731813,0.000731813
36,6410.24,0.64347,0.42467,1.02069,0.94047,0.94449,0.96988,0.60658,1.31839,0.6263,1.27639,0.000704307,0.000704307,0.000704307
37,6578.78,0.64745,0.42849,1.01794,0.95828,0.93851,0.97239,0.5906,1.39654,0.5996,1.36086,0.000676802,0.000676802,0.000676802
38,6746.41,0.61053,0.40678,1.00294,0.91291,0.94045,0.94942,0.54966,1.42777,0.7292,1.29241,0.000649297,0.000649297,0.000649297
39,6915.94,0.63586,0.40587,1.0143,0.9666,0.95385,0.96802,0.59296,1.42755,0.6082,1.34027,0.000621791,0.000621791,0.000621791
40,7084.73,0.64141,0.41759,1.02251,0.93709,0.94325,0.97393,0.58094,1.35228,0.65444,1.30133,0.000594286,0.000594286,0.000594286
41,7253.61,0.62446,0.39537,1.0088,0.98335,0.96165,0.97196,0.60035,1.39862,0.56204,1.33211,0.00056678,0.00056678,0.00056678
42,7421.96,0.60979,0.39882,1.0063,0.96049,0.96917,0.97387,0.60516,1.3296,0.61091,1.28306,0.000539275,0.000539275,0.000539275
43,7591.21,0.61225,0.39674,0.9998,0.98269,0.96415,0.98415,0.62901,1.31583,0.58093,1.25935,0.000511769,0.000511769,0.000511769
44,7760.5,0.59414,0.39664,0.99692,0.94544,0.97501,0.97855,0.60822,1.31749,0.58195,1.26827,0.000484263,0.000484263,0.000484263
45,7940.06,0.588,0.37125,0.99622,0.96152,0.9807,0.9831,0.61965,1.29631,0.58284,1.23066,0.000456758,0.000456758,0.000456758
46,8127.64,0.58786,0.37669,1.00443,0.9532,0.97611,0.97586,0.60707,1.29216,0.57871,1.26331,0.000429253,0.000429253,0.000429253
47,8317.51,0.58926,0.37828,0.99775,0.97019,0.94833,0.97209,0.60504,1.30762,0.58316,1.26633,0.000401747,0.000401747,0.000401747
48,8506.42,0.5784,0.37114,0.98828,0.97306,0.9591,0.97921,0.61992,1.31601,0.56721,1.24701,0.000374242,0.000374242,0.000374242
49,8692.82,0.57558,0.36652,0.98381,0.96729,0.95028,0.97949,0.6152,1.30373,0.59977,1.2518,0.000346736,0.000346736,0.000346736
50,8881.36,0.58506,0.36448,0.99226,0.97001,0.95028,0.97941,0.61162,1.31969,0.59694,1.26937,0.000319231,0.000319231,0.000319231
51,9069.68,0.53239,0.32258,0.94729,0.95423,0.96026,0.97878,0.62171,1.31564,0.58643,1.27269,0.000291725,0.000291725,0.000291725
52,9256.1,0.52584,0.30714,0.93858,0.96907,0.96917,0.98207,0.60906,1.32704,0.54636,1.28711,0.00026422,0.00026422,0.00026422
53,9442.66,0.52516,0.3009,0.9396,0.9657,0.95481,0.97879,0.61729,1.30156,0.55292,1.2504,0.000236714,0.000236714,0.000236714
54,9626.56,0.53133,0.29787,0.94008,0.97107,0.95785,0.98094,0.61727,1.31899,0.56066,1.25952,0.000209209,0.000209209,0.000209209
55,9814.35,0.51983,0.29241,0.93173,0.9692,0.96417,0.97776,0.6159,1.30484,0.54792,1.24575,0.000181703,0.000181703,0.000181703
56,10002,0.51741,0.29922,0.9402,0.93556,0.95958,0.97587,0.6153,1.30364,0.58515,1.26561,0.000154198,0.000154198,0.000154198
57,10190,0.51911,0.28712,0.93999,0.94288,0.96844,0.97643,0.62446,1.31288,0.55944,1.26305,0.000126692,0.000126692,0.000126692
58,10380.5,0.50436,0.28588,0.93158,0.95982,0.96037,0.98048,0.617,1.32617,0.58677,1.27179,9.91865e-05,9.91865e-05,9.91865e-05
59,10567.3,0.50062,0.28288,0.93255,0.98415,0.95028,0.98194,0.61874,1.3058,0.56782,1.26004,7.1681e-05,7.1681e-05,7.1681e-05
60,10752,0.49259,0.27675,0.92756,0.96397,0.96864,0.98233,0.62203,1.30638,0.5604,1.25987,4.41755e-05,4.41755e-05,4.41755e-05
