epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7187.91,0.66068,0.42384,1.01954,0.96889,0.96623,0.97856,0.61893,1.35169,0.61424,1.29081,0.000990365,0.000990365,0.000990365
43,7359.07,0.64885,0.42566,1.00813,0.96466,0.95269,0.9853,0.6229,1.31843,0.62486,1.28676,0.000973861,0.000973861,0.000973861
44,7529.69,0.63342,0.42929,1.00787,0.94126,0.97005,0.98136,0.61448,1.31242,0.63479,1.27875,0.000957358,0.000957358,0.000957358
45,7699.48,0.63089,0.40322,1.0134,0.98118,0.97529,0.98228,0.61966,1.3067,0.5965,1.28685,0.000940855,0.000940855,0.000940855
46,7872.79,0.6319,0.41461,1.01692,0.92579,0.93898,0.96965,0.59656,1.2967,0.63219,1.29302,0.000924352,0.000924352,0.000924352
47,8042.54,0.63133,0.41612,1.00756,0.94048,0.97011,0.97734,0.6154,1.27606,0.63432,1.26521,0.000907848,0.000907848,0.000907848
48,8213.12,0.62162,0.40761,1.00412,0.94318,0.95528,0.9812,0.61896,1.31793,0.59714,1.28568,0.000891345,0.000891345,0.000891345
49,8383.89,0.62011,0.40939,1.00507,0.9367,0.96566,0.97988,0.61484,1.28117,0.63146,1.2658,0.000874842,0.000874842,0.000874842
50,8555.42,0.64637,0.40718,1.01186,0.95153,0.96753,0.98131,0.62135,1.26095,0.64852,1.24408,0.000858338,0.000858338,0.000858338
51,8726.49,0.60901,0.40611,0.99053,0.95425,0.95098,0.96964,0.58917,1.32017,0.62922,1.31103,0.000841835,0.000841835,0.000841835
52,8898.89,0.6389,0.40233,1.00255,0.93668,0.97541,0.98294,0.61639,1.30728,0.58084,1.26604,0.000825332,0.000825332,0.000825332
53,9068.03,0.59667,0.37853,0.98641,0.96801,0.94643,0.97702,0.60868,1.29532,0.5816,1.26543,0.000808828,0.000808828,0.000808828
54,9238.33,0.61366,0.38552,0.99728,0.96174,0.94874,0.9716,0.59271,1.37175,0.64721,1.32971,0.000792325,0.000792325,0.000792325
55,9409.18,0.58667,0.37937,0.98677,0.94662,0.96622,0.97431,0.60666,1.28991,0.64149,1.29029,0.000775822,0.000775822,0.000775822
56,9580.81,0.61,0.40089,1.00019,0.95837,0.9511,0.97921,0.5907,1.31542,0.58411,1.29878,0.000759318,0.000759318,0.000759318
57,9753.21,0.61368,0.39772,0.99541,0.94281,0.9739,0.97018,0.60323,1.29594,0.60759,1.26191,0.000742815,0.000742815,0.000742815
58,9923.92,0.61246,0.38984,1.00157,0.9755,0.9808,0.98883,0.62235,1.3114,0.55396,1.28246,0.000726312,0.000726312,0.000726312
59,10094.6,0.62421,0.39285,0.99075,0.97562,0.97578,0.98132,0.59907,1.2988,0.59063,1.24383,0.000709809,0.000709809,0.000709809
60,10265,0.59109,0.37607,0.99287,0.97499,0.97478,0.98249,0.62769,1.27416,0.56013,1.229,0.000693305,0.000693305,0.000693305
61,10436.2,0.60131,0.38145,0.99445,0.94689,0.97112,0.97842,0.59605,1.30662,0.70966,1.25319,0.000676802,0.000676802,0.000676802
62,10607.1,0.62325,0.38388,1.0055,0.96279,0.9757,0.9767,0.60686,1.3,0.55013,1.28049,0.000660299,0.000660299,0.000660299
63,10777.9,0.60254,0.37554,0.99273,0.96375,0.96222,0.97769,0.61746,1.28984,0.66079,1.23091,0.000643795,0.000643795,0.000643795
